tableA,tableB,label
730,775,0
670,820,0
497,239,0
644,299,0
464,32,0
855,1061,0
671,817,0
255,871,1
328,302,0
345,874,0
466,579,0
190,34,0
1021,17,0
719,798,0
519,399,0
675,1021,0
14,517,0
647,1074,0
345,653,0
993,419,0
138,205,0
836,1034,0
444,880,0
717,801,0
558,485,0
844,819,0
109,366,0
256,460,0
608,695,0
674,889,0
919,1004,0
577,961,0
963,97,0
1038,886,0
226,585,0
1011,648,0
482,1071,0
152,139,0
252,764,0
829,719,0
184,167,0
463,742,0
927,934,0
530,879,0
637,429,0
997,544,0
489,574,0
533,632,0
579,971,0
784,409,0
713,760,0
469,554,0
771,758,0
997,630,0
803,693,0
568,680,0
865,937,1
577,607,0
555,447,0
539,582,0
495,631,0
295,24,0
172,249,0
526,237,0
764,1075,0
540,954,0
965,74,0
479,926,0
614,724,0
657,35,0
990,589,0
190,35,0
326,1016,0
1076,244,0
11,717,0
789,516,0
935,859,0
43,347,0
235,772,0
741,1077,0
597,289,0
985,736,0
15,299,0
270,345,0
813,927,0
242,748,0
432,101,0
850,676,0
677,834,0
993,655,0
554,122,0
536,401,0
108,123,1
881,839,0
576,507,0
479,936,0
573,206,0
472,568,0
733,742,0
108,106,0
1062,986,1
1076,526,0
487,844,0
1010,978,0
1039,88,0
904,910,0
280,633,0
994,1012,0
65,72,0
181,880,0
190,57,0
670,822,0
660,435,0
986,649,0
84,748,0
965,159,0
62,72,0
1069,449,0
443,441,0
115,569,0
615,637,0
741,892,0
910,401,0
413,951,0
918,1010,0
788,584,0
929,977,1
883,926,0
370,991,0
351,107,0
930,1031,0
793,442,0
55,102,0
843,817,0
654,611,0
163,336,0
1040,186,1
1076,682,0
115,74,0
1071,103,1
473,886,0
675,892,0
289,340,0
135,145,1
12,62,0
541,239,0
947,1058,0
296,453,0
812,673,0
190,300,0
803,680,0
250,637,0
495,948,0
450,581,0
968,359,1
535,35,0
439,23,0
511,594,0
216,374,1
180,584,0
167,47,0
486,511,0
656,1061,0
946,1000,0
985,911,0
687,844,0
902,536,0
348,271,0
250,626,0
406,486,0
344,484,0
670,823,0
104,496,0
481,653,0
419,395,0
844,527,0
426,90,0
249,321,0
708,568,0
553,598,1
214,3,1
534,634,0
378,922,0
399,159,0
868,537,0
540,924,0
741,983,0
522,938,0
895,625,0
94,232,0
985,605,0
391,142,0
940,152,0
807,543,0
963,540,0
95,88,0
488,223,0
591,744,0
771,716,0
852,821,0
190,515,0
894,601,0
386,456,0
190,517,0
42,800,0
850,527,0
421,303,0
994,910,0
167,308,0
803,719,0
754,596,0
789,638,0
451,978,0
281,183,0
1047,46,0
961,100,0
974,1080,1
890,409,0
277,520,1
911,1016,0
536,972,0
687,791,0
236,772,0
960,86,0
807,1058,0
918,1007,0
790,629,0
256,147,0
237,3,0
20,124,0
548,665,0
641,37,0
530,664,0
1025,1,0
352,59,0
736,834,0
453,250,0
749,634,0
564,723,0
295,17,0
780,11,0
615,302,0
295,485,0
108,203,0
351,205,1
481,630,0
482,542,0
675,983,0
445,446,0
108,107,0
577,544,0
230,879,0
900,629,0
99,987,0
306,256,0
348,551,0
863,1009,0
134,1,0
203,169,0
426,59,0
682,983,0
977,678,0
419,167,0
864,388,0
439,579,1
595,960,0
904,932,1
447,412,1
450,554,0
708,650,0
566,1083,0
1076,678,0
298,318,0
40,902,0
721,894,1
496,610,0
849,667,0
476,654,0
443,508,0
738,835,1
663,88,0
409,244,0
851,677,0
665,639,0
900,791,0
882,727,0
813,849,0
1036,1055,1
825,792,0
13,58,0
685,732,1
948,1058,0
618,686,0
550,298,0
370,541,0
203,303,0
899,622,0
753,842,0
551,871,0
644,516,0
547,924,0
533,138,0
483,401,0
308,346,1
713,699,0
125,129,1
519,938,0
15,883,0
829,920,1
468,603,0
760,469,1
1079,22,1
489,1012,0
594,515,0
170,59,0
260,669,0
638,900,0
617,663,0
943,927,0
530,594,0
802,665,0
252,753,0
543,21,0
203,395,0
181,538,0
918,1068,0
574,732,0
344,439,0
625,568,0
636,760,0
400,639,0
544,1064,0
233,672,0
994,932,0
844,676,0
109,99,1
877,999,0
664,528,0
786,311,1
670,817,0
987,543,0
664,140,0
659,496,0
193,451,0
900,846,0
622,816,0
10,758,0
868,536,0
261,336,1
671,822,0
130,436,0
485,271,0
741,840,0
899,624,0
946,543,0
1007,251,1
664,139,0
947,938,0
877,695,0
737,840,0
481,415,0
